,Date,Price per unit,Price
0,2018-6-30,7.67,3.72
1,2018-7-14,8.79,1.67
2,2018-12-1,8.78,2.02
3,2018-12-8,8.77,2.28
4,2019-1-5,8.76,2.19
5,2019-1-19,8.75,2.32
6,2019-1-26,8.76,4.6
7,2019-2-9,8.76,2.41
8,2019-3-2,9.88,2.52
9,2019-4-20,9.89,2.67
10,2019-5-4,8.75,2.1
11,2019-6-22,8.75,2.1
12,2019-7-13,8.77,4.34
13,2019-7-27,8.78,2.02
14,2019-8-10,8.76,4.03
15,2019-8-24,8.77,4.69
16,2019-9-14,8.79,1.67
17,2019-9-21,8.77,4.08
18,2019-11-3,8.79,1.67
19,2019-12-15,8.76,1.97
20,2020-1-4,8.77,5.22
21,2020-5-2,8.78,2.59
22,2020-5-23,8.77,3.55
23,2020-5-30,8.78,3.03
24,2020-9-26,8.78,6.67
25,2021-1-23,8.77,5.57
26,2021-2-7,9.88,6.37
27,2021-3-13,8.77,2.72
